지역명,자치구명,지역종류,위도,경도,건물용도,거래유형,거래건수,신뢰등급,출처,매매가,매매가_25,매매가_75,보증금,보증금_25,보증금_75,월임대료,면적_중앙값,면적_25,면적_75,㎡당_중앙값
논현1동,강남구,행정동,37.51004014272432,127.02743775450867,오피스텔,매매,21,보통,해당지역,23000.0,21500.0,32000.0,,,,,32.8,26.9,40.6,760.194
논현1동,강남구,행정동,37.51004014272432,127.02743775450867,단독다가구,월세,773,높음,법정동,,,,1000.0,,,76.0,33.1,27.0,45.0,
논현1동,강남구,행정동,37.51004014272432,127.02743775450867,아파트,월세,179,높음,해당지역,,,,7266.0,,,77.0,21.6,14.7,39.0,
논현1동,강남구,행정동,37.51004014272432,127.02743775450867,연립다세대,월세,360,높음,해당지역,,,,2000.0,,,79.5,28.2,23.5,36.0,
논현1동,강남구,행정동,37.51004014272432,127.02743775450867,오피스텔,월세,23,보통,해당지역,,,,1000.0,,,145.0,34.7,22.9,42.8,
논현1동,강남구,행정동,37.51004014272432,127.02743775450867,단독다가구,전세,101,높음,법정동,,,,18000.0,12600.0,28000.0,,40.0,28.0,58.6,476.19
논현1동,강남구,행정동,37.51004014272432,127.02743775450867,아파트,전세,51,높음,해당지역,,,,45000.0,40200.0,82000.0,,39.0,35.7,84.5,1005.679
논현1동,강남구,행정동,37.51004014272432,127.02743775450867,연립다세대,전세,161,높음,해당지역,,,,25500.0,17000.0,32000.0,,28.3,23.1,44.4,828.864
논현1동,강남구,행정동,37.51004014272432,127.02743775450867,오피스텔,전세,20,보통,법정동,,,,34100.0,24475.0,52500.0,,27.6,22.4,45.1,1067.409
논현2동,강남구,행정동,37.514099433146654,127.0370191219144,단독다가구,매매,34,높음,자치구,412500.0,316250.0,698750.0,,,,,287.1,246.8,395.0,1338.424
논현2동,강남구,행정동,37.514099433146654,127.0370191219144,아파트,매매,55,높음,해당지역,155000.0,128000.0,246000.0,,,,,84.9,73.1,111.9,2173.401
논현2동,강남구,행정동,37.514099433146654,127.0370191219144,연립다세대,매매,33,높음,해당지역,40500.0,33000.0,54200.0,,,,,29.8,23.6,44.8,1376.462
논현2동,강남구,행정동,37.514099433146654,127.0370191219144,오피스텔,매매,19,보통,해당지역,42000.0,35500.0,105000.0,,,,,39.2,27.6,53.6,1358.45
논현2동,강남구,행정동,37.514099433146654,127.0370191219144,단독다가구,월세,773,높음,법정동,,,,1000.0,,,76.0,33.1,27.0,45.0,
논현2동,강남구,행정동,37.514099433146654,127.0370191219144,아파트,월세,179,높음,해당지역,,,,10000.0,,,200.0,48.0,26.2,84.9,
논현2동,강남구,행정동,37.514099433146654,127.0370191219144,연립다세대,월세,209,높음,해당지역,,,,5000.0,,,83.0,33.4,26.9,57.8,
논현2동,강남구,행정동,37.514099433146654,127.0370191219144,오피스텔,월세,30,높음,해당지역,,,,2000.0,,,167.5,30.6,27.6,38.4,
논현2동,강남구,행정동,37.514099433146654,127.0370191219144,단독다가구,전세,101,높음,법정동,,,,18000.0,12600.0,28000.0,,40.0,28.0,58.6,476.19
논현2동,강남구,행정동,37.514099433146654,127.0370191219144,아파트,전세,148,높음,해당지역,,,,70500.0,63000.0,90000.0,,83.6,43.4,84.9,1195.073
논현2동,강남구,행정동,37.514099433146654,127.0370191219144,연립다세대,전세,109,높음,해당지역,,,,32000.0,25000.0,42240.0,,35.4,27.5,61.4,840.611
논현2동,강남구,행정동,37.514099433146654,127.0370191219144,오피스텔,전세,15,보통,해당지역,,,,38000.0,26850.0,62500.0,,34.1,27.1,58.3,976.964
대치1동,강남구,행정동,37.49423224979712,127.05804881415179,단독다가구,매매,34,높음,자치구,412500.0,316250.0,698750.0,,,,,287.1,246.8,395.0,1338.424
대치1동,강남구,행정동,37.49423224979712,127.05804881415179,아파트,매매,78,높음,해당지역,448000.0,390000.0,546000.0,,,,,114.2,85.0,145.8,4103.214
대치1동,강남구,행정동,37.49423224979712,127.05804881415179,연립다세대,매매,48,높음,법정동,90000.0,55000.0,105125.0,,,,,53.8,42.2,61.7,1588.211
대치1동,강남구,행정동,37.49423224979712,127.05804881415179,오피스텔,매매,69,높음,법정동,29800.0,23000.0,39000.0,,,,,32.0,26.4,38.6,877.193
대치1동,강남구,행정동,37.49423224979712,127.05804881415179,단독다가구,월세,393,높음,법정동,,,,2000.0,,,70.0,35.0,27.0,49.5,
